# t cid old_theta new_theta
5.8155000000e2 14 4.5923800468e0 1.7004546416e0
7.2945000000e2 15 6.2567963600e0 5.1851214242e0
1.3119700000e3 6 1.0009114742e0 6.0828375226e0
1.5869900000e3 4 2.6100351810e0 5.9599852651e0
1.7601100000e3 5 4.3781237602e0 6.0307257667e0
2.2720400000e3 6 6.0828375226e0 3.8227501659e0
2.8410900000e3 11 2.3266634941e0 4.1574184262e0
3.3257000000e3 15 5.1851214242e0 3.0031356274e0
3.7168700000e3 11 4.1574184262e0 3.3168210361e0
3.7563900000e3 2 3.8006989956e0 3.6133372947e0
5.3971900000e3 6 3.8227501659e0 6.0481034957e0
6.1126600000e3 4 5.9599852651e0 2.7672506589e0
6.4943000000e3 2 3.6133372947e0 5.6275716686e0
8.1608300000e3 6 6.0481034957e0 4.9625423511e0
8.5004400000e3 2 5.6275716686e0 6.0351554773e0
9.1107500000e3 10 4.3485927582e0 1.0938003423e0
9.6547600000e3 9 4.2354950905e0 1.2747477689e0
1.1325750000e4 11 3.3168210361e0 2.3883095319e0
1.1357070000e4 11 2.3883095319e0 3.2652010898e-1
1.1991980000e4 3 5.9570879936e0 3.8295448016e0
1.2515050000e4 3 3.8295448016e0 3.0862514326e0
1.5089270000e4 2 6.0351554773e0 5.9717957388e0
1.5212750000e4 12 4.0067873001e0 5.4574683205e0
1.6309720000e4 8 6.2084155083e0 2.5497627519e0
1.6313880000e4 14 1.7004546416e0 1.6251807981e0
1.6435090000e4 4 2.7672506589e0 4.4444760333e0
1.6750330000e4 13 7.0371681452e-1 5.8332446965e-1
1.6807840000e4 15 3.0031356274e0 3.6187141521e0
1.7297610000e4 9 1.2747477689e0 4.4119918620e0
1.8863770000e4 11 3.2652010898e-1 1.9050895648e0
1.9823550000e4 10 1.0938003423e0 6.1757345957e0
